 ,Distance (microns),Intersections,Math,Value,Body Stat,Body Value
1,0,156,Nmax,1183,Area(microns^2),149775.356
2,25,81,RC(microns),2175,Circularity,0.784
3,50,94,Dmax(microns),3825,,
4,75,98,,,,
5,100,85,,,,
6,125,93,,,,
7,150,104,,,,
8,175,134,,,,
9,200,134,,,,
10,225,152,,,,
11,250,157,,,,
12,275,158,,,,
13,300,160,,,,
14,325,173,,,,
15,350,192,,,,
16,375,195,,,,
17,400,220,,,,
18,425,243,,,,
19,450,269,,,,
20,475,297,,,,
21,500,340,,,,
22,525,390,,,,
23,550,390,,,,
24,575,400,,,,
25,600,456,,,,
26,625,459,,,,
27,650,490,,,,
28,675,515,,,,
29,700,547,,,,
30,725,561,,,,
31,750,567,,,,
32,775,563,,,,
33,800,605,,,,
34,825,624,,,,
35,850,624,,,,
36,875,651,,,,
37,900,667,,,,
38,925,665,,,,
39,950,693,,,,
40,975,714,,,,
41,1000,701,,,,
42,1025,716,,,,
43,1050,720,,,,
44,1075,751,,,,
45,1100,744,,,,
46,1125,792,,,,
47,1150,771,,,,
48,1175,796,,,,
49,1200,810,,,,
50,1225,798,,,,
51,1250,837,,,,
52,1275,871,,,,
53,1300,861,,,,
54,1325,865,,,,
55,1350,903,,,,
56,1375,898,,,,
57,1400,974,,,,
58,1425,920,,,,
59,1450,934,,,,
60,1475,951,,,,
61,1500,954,,,,
62,1525,1027,,,,
63,1550,947,,,,
64,1575,1058,,,,
65,1600,1003,,,,
66,1625,1073,,,,
67,1650,1107,,,,
68,1675,1089,,,,
69,1700,1113,,,,
70,1725,1179,,,,
71,1750,1135,,,,
72,1775,1091,,,,
73,1800,1107,,,,
74,1825,1127,,,,
75,1850,1143,,,,
76,1875,1154,,,,
77,1900,1163,,,,
78,1925,1177,,,,
79,1950,1178,,,,
80,1975,1094,,,,
81,2000,1167,,,,
82,2025,1160,,,,
83,2050,1119,,,,
84,2075,1114,,,,
85,2100,1113,,,,
86,2125,1148,,,,
87,2150,1126,,,,
88,2175,1183,,,,
89,2200,1115,,,,
90,2225,1135,,,,
91,2250,1086,,,,
92,2275,1058,,,,
93,2300,1112,,,,
94,2325,1063,,,,
95,2350,1031,,,,
96,2375,1021,,,,
97,2400,988,,,,
98,2425,978,,,,
99,2450,933,,,,
100,2475,922,,,,
101,2500,869,,,,
102,2525,886,,,,
103,2550,904,,,,
104,2575,815,,,,
105,2600,808,,,,
106,2625,735,,,,
107,2650,708,,,,
108,2675,690,,,,
109,2700,645,,,,
110,2725,581,,,,
111,2750,576,,,,
112,2775,576,,,,
113,2800,513,,,,
114,2825,513,,,,
115,2850,473,,,,
116,2875,445,,,,
117,2900,441,,,,
118,2925,373,,,,
119,2950,347,,,,
120,2975,266,,,,
121,3000,230,,,,
122,3025,157,,,,
123,3050,143,,,,
124,3075,115,,,,
125,3100,112,,,,
126,3125,93,,,,
127,3150,76,,,,
128,3175,72,,,,
129,3200,58,,,,
130,3225,64,,,,
131,3250,59,,,,
132,3275,45,,,,
133,3300,32,,,,
134,3325,28,,,,
135,3350,27,,,,
136,3375,19,,,,
137,3400,16,,,,
138,3425,12,,,,
139,3450,8,,,,
140,3475,9,,,,
141,3500,15,,,,
142,3525,14,,,,
143,3550,5,,,,
144,3575,4,,,,
145,3600,0,,,,
146,3625,4,,,,
147,3650,2,,,,
148,3675,2,,,,
149,3700,7,,,,
150,3725,4,,,,
151,3750,2,,,,
152,3775,2,,,,
153,3800,0,,,,
154,3825,1,,,,
155,3850,0,,,,
