 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
1,C1-A1-1.tif:00001-01107,610.725,5875.380,4805,16827,0,65535
2,C1-A1-1.tif:00002-01113,59.908,16524.236,5615,21345,0,65535
3,C1-A1-1.tif:00003-01150,80.709,5254.902,4805,5742,0,65535
4,C1-A1-1.tif:00004-01198,51.171,4788.976,4358,5243,0,65535
5,C1-A1-1.tif:00005-01227,138.120,4677.958,4075,5259,0,65535
6,C1-A1-1.tif:00006-01229,56.163,4656.274,4281,5046,0,65535
7,C1-A1-1.tif:00007-01242,175.147,5868.086,4914,7158,0,65535
8,C1-A1-1.tif:00008-01245,66.980,4635.398,4267,5066,0,65535
9,C1-A1-1.tif:00009-01252,40.770,64513.102,46986,65535,0,65535
10,C1-A1-1.tif:00010-01262,42.435,4420.471,3958,4796,0,65535
11,C1-A1-1.tif:00011-01298,75.301,4864.508,4319,5575,0,65535
12,C1-A1-1.tif:00012-01323,84.037,5879.000,4930,7023,0,65535
13,C1-A1-1.tif:00013-01330,81.125,4722.364,4154,5279,0,65535
14,C1-A1-1.tif:00014-01386,69.060,4832.994,4410,5355,0,65535
15,C1-A1-1.tif:00015-01409,49.091,4693.695,3966,5421,0,65535
16,C1-A1-1.tif:00016-01431,42.019,3799.614,3433,4142,0,65535
17,C1-A1-1.tif:00017-01432,47.843,3655.374,3211,4066,0,65535
18,C1-A1-1.tif:00018-01457,86.117,4695.546,4268,5241,0,65535
19,C1-A1-1.tif:00019-01461,79.045,13303.537,3217,53905,0,65535
20,C1-A1-1.tif:00020-01477,61.572,3734.588,3366,4132,0,65535
21,C1-A1-1.tif:00021-01490,58.244,37758.636,4077,65535,0,65535
22,C1-A1-1.tif:00022-01498,45.347,4272.817,3878,4718,0,65535
23,C1-A1-1.tif:00023-01500,44.931,52123.361,15835,65535,0,65535
24,C1-A1-1.tif:00024-01513,43.683,5895.629,5286,6388,0,65535
25,C1-A1-1.tif:00025-01553,46.595,3691.116,3326,4101,0,65535
26,C1-A1-1.tif:00026-01581,41.603,9546.870,8682,10352,0,65535
27,C1-A1-1.tif:00027-01596,448.891,10355.664,8466,12860,0,65535
28,C1-A1-1.tif:00028-01591,59.492,5801.951,5173,6793,0,65535
29,C1-A1-1.tif:00029-01596,52.835,11335.630,10563,12252,0,65535
30,C1-A1-1.tif:00030-01597,65.732,8853.013,7650,9814,0,65535
31,C1-A1-1.tif:00031-01610,99.846,9327.850,8211,11145,0,65535
32,C1-A1-1.tif:00032-01603,63.652,9161.797,7376,10783,0,65535
33,C1-A1-1.tif:00033-01608,72.804,8737.640,7948,10716,0,65535
34,C1-A1-1.tif:00034-01614,314.099,10417.489,7995,14199,0,65535
35,C1-A1-1.tif:00035-01607,57.411,3657.638,3292,3975,0,65535
36,C1-A1-1.tif:00036-01614,49.923,5076.775,4522,5475,0,65535
37,C1-A1-1.tif:00037-01613,41.603,38052.190,4482,65535,0,65535
38,C1-A1-1.tif:00038-01622,129.384,8912.392,6152,11083,0,65535
39,C1-A1-1.tif:00039-01620,43.683,9885.581,7796,13728,0,65535
40,C1-A1-1.tif:00040-01626,86.533,4041.457,3604,4435,0,65535
41,C1-A1-1.tif:00041-01621,40.770,7549.694,6696,8650,0,65535
42,C1-A1-1.tif:00042-01627,89.445,8444.498,7208,10508,0,65535
43,C1-A1-1.tif:00043-01632,55.747,10260.806,8731,11710,0,65535
44,C1-A1-1.tif:00044-01646,51.171,5085.431,4427,5825,0,65535
45,C1-A1-1.tif:00045-01654,52.003,6251.608,5650,6833,0,65535
46,C1-A1-1.tif:00046-01663,47.843,10585.539,9351,11676,0,65535
47,C1-A1-1.tif:00047-01664,53.667,19007.419,6401,45109,0,65535
48,C1-A1-1.tif:00048-01671,41.187,3669.040,3283,4076,0,65535
49,C1-A1-1.tif:00049-01681,115.239,14429.051,12109,17474,0,65535
50,C1-A1-1.tif:00050-01687,42.435,4601.569,4211,5023,0,65535
51,C1-A1-1.tif:00051-01685,99.846,16195.917,12899,20765,0,65535
52,C1-A1-1.tif:00052-01683,124.392,10882.582,9234,12341,0,65535
53,C1-A1-1.tif:00053-01690,53.251,10623.391,9650,12084,0,65535
54,C1-A1-1.tif:00054-01698,145.193,12449.842,8532,18470,0,65535
55,C1-A1-1.tif:00055-01695,46.179,8210.793,7478,9360,0,65535
56,C1-A1-1.tif:00056-01699,65.732,6711.089,5637,7811,0,65535
57,C1-A1-1.tif:00057-01704,106.086,3679.490,3201,4134,0,65535
58,C1-A1-1.tif:00058-01706,51.587,3965.460,3288,4694,0,65535
59,C1-A1-1.tif:00059-01713,61.156,3622.204,3259,3953,0,65535
60,C1-A1-1.tif:00060-01712,53.667,6948.287,6119,7916,0,65535
61,C1-A1-1.tif:00061-01727,72.804,3606.280,3266,4021,0,65535
