 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
1,C2-A1-1-1.tif:00001-01107,610.725,640.445,200,1180,0,65535
2,C2-A1-1-1.tif:00002-01113,59.908,475.569,288,778,0,65535
3,C2-A1-1-1.tif:00003-01150,80.709,533.820,351,968,0,65535
4,C2-A1-1-1.tif:00004-01198,51.171,568.829,287,949,0,65535
5,C2-A1-1-1.tif:00005-01227,138.120,652.491,328,1265,0,65535
6,C2-A1-1-1.tif:00006-01229,56.163,474.030,280,753,0,65535
7,C2-A1-1-1.tif:00007-01242,175.147,634.014,194,1065,0,65535
8,C2-A1-1-1.tif:00008-01245,66.980,557.447,297,913,0,65535
9,C2-A1-1-1.tif:00009-01252,40.770,792.837,350,1583,0,65535
10,C2-A1-1-1.tif:00010-01262,42.435,500.618,350,810,0,65535
11,C2-A1-1-1.tif:00011-01298,75.301,596.155,350,1090,0,65535
12,C2-A1-1-1.tif:00012-01323,84.037,559.743,350,1026,0,65535
13,C2-A1-1-1.tif:00013-01330,81.125,569.641,351,1056,0,65535
14,C2-A1-1-1.tif:00014-01386,69.060,579.765,319,1037,0,65535
15,C2-A1-1-1.tif:00015-01409,49.091,664.500,371,1156,0,65535
16,C2-A1-1-1.tif:00016-01431,42.019,516.228,353,924,0,65535
17,C2-A1-1-1.tif:00017-01432,47.843,511.965,356,848,0,65535
18,C2-A1-1-1.tif:00018-01457,86.117,507.705,334,861,0,65535
19,C2-A1-1-1.tif:00019-01461,79.045,777.032,350,1557,0,65535
20,C2-A1-1-1.tif:00020-01477,61.572,466.297,345,707,0,65535
21,C2-A1-1-1.tif:00021-01490,58.244,771.750,340,2227,0,65535
22,C2-A1-1-1.tif:00022-01498,45.347,550.183,360,941,0,65535
23,C2-A1-1-1.tif:00023-01500,44.931,553.694,351,1002,0,65535
24,C2-A1-1-1.tif:00024-01513,43.683,458.105,351,764,0,65535
25,C2-A1-1-1.tif:00025-01553,46.595,528.509,360,911,0,65535
26,C2-A1-1-1.tif:00026-01581,41.603,471.340,228,790,0,65535
27,C2-A1-1-1.tif:00027-01596,448.891,703.566,266,1316,0,65535
28,C2-A1-1-1.tif:00028-01591,59.492,514.545,351,817,0,65535
29,C2-A1-1-1.tif:00029-01596,52.835,502.976,334,697,0,65535
